text,is_depressed
"I feel so worthless and tired all the time, nothing brings me joy anymore.",1
Had a great day today! Everything is going well and I'm feeling happy!,0
"I can't stop crying, I don't know what's wrong with me. It's been weeks of this.",1
Just finished an amazing workout! Feeling energized and positive.,0
Why does everything feel so empty? I don't see the point in trying anymore.,1
"Celebrated my birthday with friends, felt so loved and appreciated!",0
Another sleepless night. The thoughts won't stop and I'm exhausted.,1
"Beautiful sunshine today, went for a walk and it lifted my spirits.",0
I'm a failure at everything. Everyone would be better off without me.,1
Just got a promotion at work! All the hard work is paying off!,0
