text,is_depressed
I'm grateful that Learning something new every day sometimes taking time for self-care feels amazing #gratitude,0
Can't stop thinking about how Thankful for all the good in my life #depression,0
I'm so happy about I just want the pain to stop 😊,1
Can't stop thinking about how Had a great day today ✨,0
I'm exhausted all the time,1
I love when I'm so tired but I can't sleep #life,1
It's funny how Feeling at peace with myself 💔,0
Sometimes I wonder if It's all my fault so i feel numb inside!,1
Not sure why I feel numb inside...,1
Just realized I just want the pain to stop i can't remember the last time i was happy 😔,1
Just thinking that Just finished an amazing workout #depression,0
I can't remember the last time I was happy i can't stop crying #depression,1
I'm a burden to everyone these days everything is overwhelming ❤️,1
It's sad that I don't see the point in trying #life,1
Making progress every day 😞,0
I'm so happy about I just want the pain to stop #depression,1
Today I realized Got a promotion at work 😁,0
Always remember that Everyone would be better off without me 😁,1
I'm so happy about I don't see the point in trying 😢,1
Just thinking that Why am I never good enough? 😭,1
Never forget that I'm a burden to everyone 😢,1
Never forget that Everything is going well these days just finished an amazing workout,0
Never forget that I can't focus on anything ❤️,1
Just thinking that I'm so tired but I can't sleep,1
Sometimes I wonder if I can't remember the last time I was happy 😢,1
I wish Found a new hobby that I love yet feeling at peace with myself #life,0
I hate when Feeling energized and positive,0
I wish Surrounded by good people yet thankful for all the good in my life 😭,0
I'm so happy about Enjoying the little things in life ❤️,0
I wish I don't see the point in trying i can't remember the last time i was happy...,1
I'm so happy about Today was productive and fulfilling #gratitude,0
Does anyone else feel like I'm so tired but I can't sleep right now no one understands how i feel #life,1
Always remember that I just want the pain to stop...,1
Today was productive and fulfilling 😊,0
"I hate when It's all my fault honestly, i feel so alone even in a crowd",1
Never forget that Got a promotion at work.,0
Enjoying the little things in life 😞,0
I can't focus on anything these days i just want the pain to stop #depression,1
Had a great day today though all the hard work is paying off,0
Always remember that Beautiful sunshine today #blessed,0
Never forget that I can't stop crying so another sleepless night 😞,1
Can't stop thinking about how Just had the best time with family right now learning something new every day #happy,0
Enjoying the little things in life #anxiety,0
I'm grateful that Excited about new opportunities 😔,0
Is it normal to feel like Learning something new every day 😁,0
I'm so happy about So grateful for my friends and making progress every day.,0
Sometimes I wonder if I'm sorry for being such a disappointment,1
Sometimes I wonder if Celebrated with friends 😊,0
I hate when I'm feeling happy because today was productive and fulfilling #blessed,0
Why is it that Everything is overwhelming I feel like i'm exhausted all the time 😔,1
Not sure why I can't remember the last time I was happy ❤️,1
Just realized I don't see the point in trying 😁,1
I can't believe Got a promotion at work,0
Can't stop thinking about how I can't remember the last time I was happy 💔,1
Is it normal to feel like Went for a walk and it lifted my spirits,0
Always remember that Surrounded by good people.,0
It's funny how I can't see a future for myself.,1
Can't stop thinking about how I hate myself so much #depression,1
I hate when I feel numb inside...,1
It's funny how Another sleepless night #blessed,1
I'm so happy about Another sleepless night I feel like i can't remember the last time i was happy #anxiety,1
I love when I'm tired of pretending to be okay 😔,1
It's funny how The future looks bright #happy,0
I hate when Celebrated with friends #blessed,0
Making progress every day because my heart is full of joy #blessed,0
I'm grateful that Went for a walk and it lifted my spirits though beautiful sunshine today 😁,0
Just realized Had a great day today though found a new hobby that i love #blessed,0
Is it normal to feel like Will this sadness ever end? though everyone would be better off without me.,1
I can't believe Everything feels so empty #gratitude,1
Never forget that Surrounded by good people 😭,0
Not sure why I've lost interest in things I used to enjoy 😁,1
I'm so tired of Making progress every day 💔,0
It's sad that Just had the best time with family 😁,0
I can't focus on anything 😁,1
Does anyone else feel like All the hard work is paying off #anxiety,0
Never forget that I feel so alone even in a crowd 😁,1
I'm so tired but I can't sleep #happy,1
Today I realized Feeling energized and positive 😊,0
It's funny how Went for a walk and it lifted my spirits 😊,0
Sometimes I wonder if Today was productive and fulfilling...,0
Never forget that I feel so worthless 😁,1
Just thinking that Nothing brings me joy anymore these days i'm sorry for being such a disappointment 😢,1
I can't believe So grateful for my friends #gratitude,0
Just realized Everything feels so empty ✨,1
Never forget that Found a new hobby that I love #anxiety,0
Just realized I'm so tired but I can't sleep 😭,1
Just thinking that Everything feels so empty ❤️,1
I love when Another sleepless night #blessed,1
I'm so tired of Nothing matters anymore 😁,1
Can't stop thinking about how Everyone would be better off without me,1
Why is it that Making positive changes #mentalhealth,0
I'm grateful that Everything is overwhelming 💔,1
Just realized I'm so tired but I can't sleep...,1
Why is it that Nothing matters anymore 😁,1
Just realized The future looks bright 😭,0
I'm so happy about Enjoying the little things in life #anxiety,0
It's sad that I can't focus on anything...,1
I'm grateful that The future looks bright though making progress every day 💔,0
Always remember that I feel numb inside i'm a failure at everything #happy,1
I'm grateful that Learning something new every day 😭,0
Learning something new every day just had the best time with family #happy,0
Never forget that I'm feeling happy 💔,0
It's sad that Beautiful sunshine today right now all the hard work is paying off 😁,0
I hate when I can't remember the last time I was happy i can't see a future for myself,1
"Why am I never good enough? honestly, i can't stop crying ✨",1
Never forget that I'm a burden to everyone ❤️,1
I love when Learning something new every day 😁,0
I'm grateful that All the hard work is paying off,0
"Always remember that Found a new hobby that I love honestly, just had the best time with family ✨",0
It's sad that No one understands how I feel!,1
I love when Beautiful sunshine today,0
I'm so happy about Making progress every day,0
I wish Got a promotion at work,0
It's sad that Felt so loved and appreciated because went for a walk and it lifted my spirits 💔,0
It's funny how Everything feels so empty ✨,1
Does anyone else feel like Got a promotion at work often just finished an amazing workout 😔,0
It's sad that Feeling energized and positive 😊,0
Is it normal to feel like Beautiful sunshine today ✨,0
