text,is_depressed
Thankful for all the good in my life ✨,0
Everyone would be better off without me 💔,1
Beautiful sunshine today #life 😊,0
Nothing brings me joy anymore 😔,1
I'm so tired but I can't sleep #mentalhealth 😞,1
It's all my fault 😢,1
Why am I never good enough? 😢,1
I feel so alone even in a crowd 😭,1
Went for a walk and it lifted my spirits ✨,0
Beautiful sunshine today 😁,0
Feeling at peace with myself 😊,0
It's all my fault #depression 💔,1
I hate myself so much 😞,1
It's all my fault 😞,1
Learning something new every day 😊,0
Feeling at peace with myself ✨,0
Had a great day today 😊,0
Everyone would be better off without me #mentalhealth 😔,1
Learning something new every day 😊,0
Nothing brings me joy anymore 😞,1
Went for a walk and it lifted my spirits 😊,0
Beautiful sunshine today #blessed ✨,0
Enjoying the little things in life #depression 😁,0
Everyone would be better off without me 💔,1
Enjoying the little things in life 😁,0
Got a promotion at work ❤️,0
Had a great day today #mentalhealth 😁,0
Beautiful sunshine today ✨,0
I just want the pain to stop 💔,1
I feel so alone even in a crowd 😔,1
I just want the pain to stop 😢,1
I hate myself so much 😭,1
Everyone would be better off without me #depression 😭,1
Learning something new every day 😄,0
I can't stop crying 💔,1
It's all my fault 😞,1
Went for a walk and it lifted my spirits #blessed ✨,0
Feeling energized and positive #mentalhealth ❤️,0
Feeling at peace with myself 😁,0
Had a great day today #happy 😊,0
I can't see a future for myself 😔,1
Went for a walk and it lifted my spirits 😄,0
Had a great day today ✨,0
Learning something new every day 👍,0
I hate myself so much 😔,1
Went for a walk and it lifted my spirits 👍,0
Had a great day today 👍,0
Thankful for all the good in my life #gratitude ✨,0
Went for a walk and it lifted my spirits 👍,0
Why am I never good enough? 😔,1
It's all my fault 😞,1
Beautiful sunshine today 😄,0
Learning something new every day #blessed ❤️,0
Had a great day today 😊,0
Making progress every day #blessed ❤️,0
Learning something new every day 😄,0
Feeling at peace with myself ✨,0
Everyone would be better off without me 😭,1
Feeling energized and positive 😄,0
Feeling energized and positive #blessed 👍,0
I'm so tired but I can't sleep 😔,1
Got a promotion at work #depression ❤️,0
Nothing brings me joy anymore 😭,1
Got a promotion at work 😊,0
I hate myself so much #life 😞,1
Nothing brings me joy anymore 😞,1
It's all my fault 😭,1
I just want the pain to stop 😔,1
I just want the pain to stop #mentalhealth 😭,1
I just want the pain to stop 😭,1
Feeling energized and positive #gratitude 😊,0
Enjoying the little things in life 👍,0
Enjoying the little things in life 😄,0
Why am I never good enough? #life 😭,1
I can't stop crying #gratitude 😔,1
Making progress every day #life 😊,0
I can't see a future for myself #mentalhealth 😔,1
Beautiful sunshine today 😁,0
Got a promotion at work #gratitude 😁,0
Nothing brings me joy anymore 😔,1
Why am I never good enough? 😔,1
Went for a walk and it lifted my spirits ✨,0
Feeling at peace with myself 😄,0
Went for a walk and it lifted my spirits ✨,0
Nothing brings me joy anymore #blessed 😔,1
Learning something new every day ❤️,0
Making progress every day 😄,0
Went for a walk and it lifted my spirits 😊,0
Enjoying the little things in life #gratitude ✨,0
Thankful for all the good in my life #mentalhealth 😄,0
I'm so tired but I can't sleep 💔,1
I feel so alone even in a crowd 😭,1
I feel so alone even in a crowd 😢,1
Learning something new every day 😄,0
Went for a walk and it lifted my spirits #gratitude 😁,0
Making progress every day 👍,0
Had a great day today 👍,0
Learning something new every day #life 😄,0
I just want the pain to stop 😔,1
It's all my fault 😭,1
I hate myself so much 😔,1
Feeling at peace with myself 😄,0
Feeling energized and positive 😊,0
I can't stop crying 😞,1
I can't stop crying #gratitude 😔,1
I can't stop crying 😢,1
I can't stop crying 😔,1
Nothing brings me joy anymore #life 😭,1
Had a great day today #life 😊,0
Making progress every day 😄,0
I feel so alone even in a crowd 😔,1
Enjoying the little things in life #depression ✨,0
Had a great day today 👍,0
I can't see a future for myself 💔,1
I can't stop crying #blessed 😔,1
Feeling energized and positive ❤️,0
I feel so alone even in a crowd 😞,1
Enjoying the little things in life 😊,0
Making progress every day #mentalhealth 😊,0
I just want the pain to stop 💔,1
It's all my fault #mentalhealth 😔,1
I feel so alone even in a crowd 😞,1
Making progress every day #mentalhealth 😊,0
I feel so alone even in a crowd #mentalhealth 😔,1
I can't stop crying 😢,1
I'm so tired but I can't sleep 💔,1
Got a promotion at work #blessed ❤️,0
I just want the pain to stop 😢,1
Feeling energized and positive 👍,0
Had a great day today #blessed 👍,0
I can't stop crying 😢,1
I feel so alone even in a crowd 😢,1
I just want the pain to stop 😔,1
Why am I never good enough? 😔,1
I'm so tired but I can't sleep #life 😔,1
Got a promotion at work 😄,0
Making progress every day #happy 👍,0
I hate myself so much #happy 😭,1
